consultant_id,first_name,last_name,email,department,hire_date,billable_rate,status
1,Margaretta,Bloys,margaretta.bloys@stratedge.com,Data Analytics,2022-06-16,869,Active
2,Lynnet,Vittel,lynnet.vittel@stratedge.com,Finance Advisory,2016-05-28,455,Active
3,Rosemarie,Olivella,rosemarie.olivella@stratedge.com,HR & Talent,2018-11-05,669,Active
4,Steffane,Parkisson,steffane.parkisson@stratedge.com,HR & Talent,2018-12-04,335,Active
5,Nico,Durward,nico.durward@stratedge.com,Strategy,2017-04-01,707,On Leave
6,Jozef,Peret,jozef.peret@stratedge.com,Operations,2023-04-13,935,On Leave
7,Ruprecht,Buck,ruprecht.buck@stratedge.com,Legal & Compliance,2017-07-08,364,Resigned
8,Frederic,Duthie,frederic.duthie@stratedge.com,Legal & Compliance,2015-04-13,335,On Leave
9,Tiffanie,Aimer,tiffanie.aimer@stratedge.com,Legal & Compliance,2015-06-19,800,On Leave
10,Priscilla,Pagnin,priscilla.pagnin@stratedge.com,HR & Talent,2021-05-15,746,Resigned
11,Elayne,Masham,elayne.masham@stratedge.com,HR & Talent,2019-01-19,611,Resigned
12,Clementine,Pinnington,clementine.pinnington@stratedge.com,Data Analytics,2017-12-31,576,On Leave
13,Ware,Haldenby,ware.haldenby@stratedge.com,Marketing & Growth,2017-06-22,923,On Leave
14,Lucila,Baptista,lucila.baptista@stratedge.com,Operations,2016-06-02,732,On Leave
15,Regine,Lerohan,regine.lerohan@stratedge.com,IT Consulting,2015-12-07,341,Active
16,Erich,Pinfold,erich.pinfold@stratedge.com,Digital Transformation,2020-03-26,974,Resigned
17,Annice,Brimblecomb,annice.brimblecomb@stratedge.com,Strategy,2021-06-07,381,Resigned
18,Sonnnie,Denmead,sonnnie.denmead@stratedge.com,Digital Transformation,2022-01-24,860,Active
19,Benjie,Whitney,benjie.whitney@stratedge.com,HR & Talent,2022-03-01,590,Resigned
20,Waldo,Paddy,waldo.paddy@stratedge.com,Sustainability,2020-03-05,823,On Leave
21,Phillipp,Coupland,phillipp.coupland@stratedge.com,Marketing & Growth,2016-06-19,654,On Leave
22,Dimitry,Pleass,dimitry.pleass@stratedge.com,Digital Transformation,2017-03-04,720,On Leave
23,Orin,Gairdner,orin.gairdner@stratedge.com,Operations,2016-02-08,922,On Leave
24,Masha,Pettett,masha.pettett@stratedge.com,Marketing & Growth,2016-09-10,828,On Leave
25,Dot,Ramlot,dot.ramlot@stratedge.com,IT Consulting,2018-05-25,979,Active
26,Lusa,Loxdale,lusa.loxdale@stratedge.com,Operations,2021-11-24,749,Active
27,Rori,Findlow,rori.findlow@stratedge.com,HR & Talent,2023-11-26,555,Resigned
28,Rufe,Trahearn,rufe.trahearn@stratedge.com,Data Analytics,2016-10-08,501,Resigned
29,Adrienne,Ionnisian,adrienne.ionnisian@stratedge.com,Operations,2015-08-26,719,On Leave
30,Lorettalorna,Bendell,lorettalorna.bendell@stratedge.com,Finance Advisory,2016-01-02,423,On Leave
31,Wildon,Anetts,wildon.anetts@stratedge.com,Sustainability,2016-04-07,348,Resigned
32,Rheba,Scad,rheba.scad@stratedge.com,Operations,2021-03-02,790,Active
33,Sidonnie,Bendley,sidonnie.bendley@stratedge.com,HR & Talent,2018-05-12,751,Active
34,Robinet,Gander,robinet.gander@stratedge.com,Finance Advisory,2022-08-07,507,Active
35,Leonanie,Dominec,leonanie.dominec@stratedge.com,Strategy,2016-06-02,706,Resigned
36,Edward,Mouat,edward.mouat@stratedge.com,Sustainability,2017-03-17,809,On Leave
37,Roch,Billings,roch.billings@stratedge.com,Marketing & Growth,2022-01-30,855,Resigned
38,Mal,Leeson,mal.leeson@stratedge.com,Operations,2022-08-14,612,Resigned
39,Manuel,Kopisch,manuel.kopisch@stratedge.com,Digital Transformation,2020-05-18,575,On Leave
40,Zebadiah,Lindner,zebadiah.lindner@stratedge.com,IT Consulting,2016-02-05,504,Resigned
41,Diahann,Gogin,diahann.gogin@stratedge.com,Finance Advisory,2020-08-26,765,Active
42,Mikaela,Sergant,mikaela.sergant@stratedge.com,Digital Transformation,2017-03-13,653,On Leave
43,Mitch,Blamphin,mitch.blamphin@stratedge.com,Operations,2021-11-29,964,Active
44,Anastassia,Ireland,anastassia.ireland@stratedge.com,Marketing & Growth,2017-10-16,743,On Leave
45,Chance,Bryett,chance.bryett@stratedge.com,IT Consulting,2022-03-21,556,Active
46,Ephrayim,Casella,ephrayim.casella@stratedge.com,HR & Talent,2016-05-02,414,Active
47,Madalyn,Jambrozek,madalyn.jambrozek@stratedge.com,Legal & Compliance,2023-05-11,660,Resigned
48,Mersey,Middleditch,mersey.middleditch@stratedge.com,Operations,2017-08-22,732,Active
49,Kathrine,Kurton,kathrine.kurton@stratedge.com,Legal & Compliance,2019-01-17,391,Active
50,Brnaba,Begent,brnaba.begent@stratedge.com,Operations,2016-02-19,504,Active
